INFO   | jvm 1    | 2013/12/28 14:05:14 | 103194795 [WatchDog] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:05:16 | 103196201 2013-12-28 14:05:16,353 [CNMIEmulatorProcessor [modem1]] DEBUG org.smslib.threading.AServiceThread  - ** disabled **
INFO   | jvm 1    | 2013/12/28 14:05:16 | 103196201 [CNMIEmulatorProcessor [modem1]] DEBUG smslib  - ** disabled **
INFO   | jvm 1    | 2013/12/28 14:05:17 | 103197046 2013-12-28 14:05:17,198 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:05:17 | 103197046 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:05:22 | 103202046 2013-12-28 14:05:22,198 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:05:22 | 103202046 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:05:27 | 103207046 2013-12-28 14:05:27,198 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:05:27 | 103207046 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:05:29 | 103209796 2013-12-28 14:05:29,948 [WatchDog] DEBUG org.smslib.threading.AServiceThread  - Running...
